file,parameter,rows,count,mean,min,max
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,дмк,97034,97034,39.68845593715281,0.0,237.547180175781
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,момент_ротора,97034,97034,1.0453959681217555,-1.56502497196198,3.85347628593445
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,нагрузка,97034,97034,4.4875466998465425,0.0,22.1210613250732
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,обороты_ротора,97034,97034,14.27688201179796,0.0,67.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,расход_на_входе,97034,97034,10.084998964574732,-0.396172851324081,15.9774398803711
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,скорость_бурения,97034,97034,0.4363503643088945,0.0,8.11654567718506
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,скорость_спо,97034,97034,0.012965602457429882,0.0,1.55846989154816
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,температура_на_выходе,97034,97034,34.2864811918782,8.3248815536499,45.1276779174805
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test1.TXT,уровень_в_емкости,97034,97034,1.2030033244096376,0.616995751857758,1.53119516372681
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,вес_на_крюке,97034,97034,35.25318572865972,0.41363325715065,73.6162338256836
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,глубина,97034,97034,3130.7023196635278,3098.03002929688,3157.32641601563
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,давление_на_входе,97034,97034,175.3269100958648,-0.319338738918304,269.472473144531
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,дмк,97034,97034,39.68845593715281,0.0,237.547180175781
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,момент_ротора,97034,97034,1.0453959681217555,-1.56502497196198,3.85347628593445
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,нагрузка,97034,97034,4.4875466998465425,0.0,22.1210613250732
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,обороты_ротора,97034,97034,14.27688201179796,0.0,67.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,расход_на_входе,97034,97034,10.084998964574732,-0.396172851324081,15.9774398803711
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,скорость_бурения,97034,97034,0.4363503643088945,0.0,8.11654567718506
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,скорость_спо,97034,97034,0.012965602457429882,0.0,1.55846989154816
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,температура_на_выходе,97034,97034,34.2864811918782,8.3248815536499,45.1276779174805
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_209_well_505\test2.TXT,уровень_в_емкости,97034,97034,1.2030033244096376,0.616995751857758,1.53119516372681
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,вес_на_крюке,54617,54617,46.664382713656515,1.59363842010498,97.24874114990233
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,глубина,54617,54617,3474.175098217688,3438.02001953125,3517.379150390625
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,давление_на_входе,54617,54617,188.8929250520948,0.0,280.7046813964844
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,дмк,54617,54617,34.96124811358621,0.0,233.13446044921875
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,момент_ротора,54617,54617,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,нагрузка,54617,54617,6.3932216850867505,0.0,46.61433792114258
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,обороты_ротора,54617,54617,0.0,0.0,0.0
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,расход_на_входе,54617,54617,11.91753236289021,0.0,15.256187438964844
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,скорость_бурения,54617,54617,0.5205009104395989,0.0,29.19399642944336
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,скорость_спо,54617,54617,0.006768843697662142,0.0,1.394198775291443
D:\diploma\wellpro-anomalies\backend\app\data\rig_files\cluster_223_well_510\25.08-01.09.2014 рейс 55.txt,температура_на_выходе,54617,54617,35.21524077372215,5.417238712310791,42.75928115844727
